cities
SYDNEY
SYDNEY SOUTH
THE ROCKS
THE UNIVERSITY OF SYDNEY
BROADWAY	NSW
ULTIMO	NSW
CHIPPENDALE
DARLINGTON
PYRMONT
DARLINGHURST
SURRY HILLS
ELIZABETH BAY
POTTS POINT
RUSHCUTTERS
WOOLLOOMOOLOO
